key,text:kn,ipa:kn,audio:kn,audio source:kn,tags:kn
September,,,,,AnkiLangs::KN
seven (7),,,,,AnkiLangs::KN
seventeen (17),,,,,AnkiLangs::KN
seventy (70),,,,,AnkiLangs::KN
seventy-one (71),,,,,AnkiLangs::KN
seventy-two (72),,,,,AnkiLangs::KN
sex [gender],,,,,AnkiLangs::KN
sex [the act],,,,,AnkiLangs::KN
shallow,,,,,AnkiLangs::KN
she,,,,,AnkiLangs::KN
"short [opposite of ""long""]",,,,,AnkiLangs::KN
"short [opposite of ""tall""]",,,,,AnkiLangs::KN
sick,,,,,AnkiLangs::KN
silver,,,,,AnkiLangs::KN
six (6),,,,,AnkiLangs::KN
sixteen (16),,,,,AnkiLangs::KN
sixty (60),,,,,AnkiLangs::KN
sixty-one (61),,,,,AnkiLangs::KN
sixty-two (62),,,,,AnkiLangs::KN
slow,,,,,AnkiLangs::KN
small / little,,,,,AnkiLangs::KN
soft,,,,,AnkiLangs::KN
soil/earth [ground],,,,,AnkiLangs::KN
space (outer space),,,,,AnkiLangs::KN
sport,,,,,AnkiLangs::KN
stone,,,,,AnkiLangs::KN
straight,,,,,AnkiLangs::KN
strong,,,,,AnkiLangs::KN
sugar,,,,,AnkiLangs::KN
Sunday,,,,,AnkiLangs::KN
sweat,,,,,AnkiLangs::KN
tall,,,,,AnkiLangs::KN
tea,,,,,AnkiLangs::KN
technology,,,,,AnkiLangs::KN
temperature,,,,,AnkiLangs::KN
ten (10),,,,,AnkiLangs::KN
"ten thousand (10,000)",,,,,AnkiLangs::KN
the (train) ticket,,,,,AnkiLangs::KN
the actor,,,,,AnkiLangs::KN
the adjective,,,,,AnkiLangs::KN
the adult,,,,,AnkiLangs::KN
the afternoon,,,,,AnkiLangs::KN
the air,,,,,AnkiLangs::KN
the airport,,,,,AnkiLangs::KN
the animal,,,,,AnkiLangs::KN
the apartment,,,,,AnkiLangs::KN
the apple,,,,,AnkiLangs::KN
the arm,,,,,AnkiLangs::KN
the army,,,,,AnkiLangs::KN
the artist,,,,,AnkiLangs::KN
the attack,,,,,AnkiLangs::KN
the author,,,,,AnkiLangs::KN
the baby,,,,,AnkiLangs::KN
the back [anatomy],,,,,AnkiLangs::KN
the back [location],,,,,AnkiLangs::KN
the bag,,,,,AnkiLangs::KN
the ball,,,,,AnkiLangs::KN
the banana,,,,,AnkiLangs::KN
the band [music],,,,,AnkiLangs::KN
the bank,,,,,AnkiLangs::KN
the bar,,,,,AnkiLangs::KN
the bathroom,,,,,AnkiLangs::KN
the beach,,,,,AnkiLangs::KN
the beard,,,,,AnkiLangs::KN
the bed,,,,,AnkiLangs::KN
the bedroom,,,,,AnkiLangs::KN
the beef,,,,,AnkiLangs::KN
the beverage,,,,,AnkiLangs::KN
the bicycle,,,,,AnkiLangs::KN
the bill [bank note],,,,,AnkiLangs::KN
the bird,,,,,AnkiLangs::KN
the boat,,,,,AnkiLangs::KN
the body,,,,,AnkiLangs::KN
the bone,,,,,AnkiLangs::KN
the book,,,,,AnkiLangs::KN
the bottle,,,,,AnkiLangs::KN
the bottom,,,,,AnkiLangs::KN
the box,,,,,AnkiLangs::KN
the boy,,,,,AnkiLangs::KN
the brain,,,,,AnkiLangs::KN
the bread,,,,,AnkiLangs::KN
the bridge,,,,,AnkiLangs::KN
the brother,,,,,AnkiLangs::KN
the building,,,,,AnkiLangs::KN
the bus,,,,,AnkiLangs::KN
the cake,,,,,AnkiLangs::KN
the camera,,,,,AnkiLangs::KN
the camp,,,,,AnkiLangs::KN
the car,,,,,AnkiLangs::KN
the card,,,,,AnkiLangs::KN
the cat,,,,,AnkiLangs::KN
the ceiling,,,,,AnkiLangs::KN
the cell phone,,,,,AnkiLangs::KN
the centimeter,,,,,AnkiLangs::KN
the chair,,,,,AnkiLangs::KN
the cheese,,,,,AnkiLangs::KN
the chicken,,,,,AnkiLangs::KN
the child,,,,,AnkiLangs::KN
the church,,,,,AnkiLangs::KN
the circle,,,,,AnkiLangs::KN
the city,,,,,AnkiLangs::KN
the clock,,,,,AnkiLangs::KN
the clothing,,,,,AnkiLangs::KN
the club,,,,,AnkiLangs::KN
the coat,,,,,AnkiLangs::KN
the color,,,,,AnkiLangs::KN
the computer,,,,,AnkiLangs::KN
the consonant,,,,,AnkiLangs::KN
the contract,,,,,AnkiLangs::KN
the corn,,,,,AnkiLangs::KN
the corner,,,,,AnkiLangs::KN
"the country (USA, France, etc.)",,,,,AnkiLangs::KN
the court,,,,,AnkiLangs::KN
the cow,,,,,AnkiLangs::KN
the crowd,,,,,AnkiLangs::KN
the cup,,,,,AnkiLangs::KN
the date,,,,,AnkiLangs::KN
the daughter,,,,,AnkiLangs::KN
the day,,,,,AnkiLangs::KN
the direction,,,,,AnkiLangs::KN
the doctor,,,,,AnkiLangs::KN
the dog,,,,,AnkiLangs::KN
the dollar,,,,,AnkiLangs::KN
the door,,,,,AnkiLangs::KN
the dot,,,,,AnkiLangs::KN
the dream,,,,,AnkiLangs::KN
the dress,,,,,AnkiLangs::KN
the drug,,,,,AnkiLangs::KN
the ear,,,,,AnkiLangs::KN
the east,,,,,AnkiLangs::KN
the edge,,,,,AnkiLangs::KN
the egg,,,,,AnkiLangs::KN
the election,,,,,AnkiLangs::KN
the engine,,,,,AnkiLangs::KN
the evening,,,,,AnkiLangs::KN
the eye,,,,,AnkiLangs::KN
the face,,,,,AnkiLangs::KN
the Fall,,,,,AnkiLangs::KN
the family,,,,,AnkiLangs::KN
the fan [appliance],,,,,AnkiLangs::KN
the fan [person],,,,,AnkiLangs::KN
the farm,,,,,AnkiLangs::KN
the father,,,,,AnkiLangs::KN
the finger,,,,,AnkiLangs::KN
the fire,,,,,AnkiLangs::KN
the fish,,,,,AnkiLangs::KN
the floor,,,,,AnkiLangs::KN
the flower,,,,,AnkiLangs::KN
the foot,,,,,AnkiLangs::KN
the foot [measurement],,,,,AnkiLangs::KN
the forest,,,,,AnkiLangs::KN
the fork,,,,,AnkiLangs::KN
the friend,,,,,AnkiLangs::KN
the front,,,,,AnkiLangs::KN
the game,,,,,AnkiLangs::KN
the garden,,,,,AnkiLangs::KN
the gasoline,,,,,AnkiLangs::KN
the gift,,,,,AnkiLangs::KN
the girl,,,,,AnkiLangs::KN
the grandfather,,,,,AnkiLangs::KN
the grandmother,,,,,AnkiLangs::KN
the grass,,,,,AnkiLangs::KN
the ground,,,,,AnkiLangs::KN
the gun,,,,,AnkiLangs::KN
the hair,,,,,AnkiLangs::KN
the half,,,,,AnkiLangs::KN
the hand,,,,,AnkiLangs::KN
the hat,,,,,AnkiLangs::KN
the head,,,,,AnkiLangs::KN
the heart,,,,,AnkiLangs::KN
the heat,,,,,AnkiLangs::KN
the hill,,,,,AnkiLangs::KN
the hole,,,,,AnkiLangs::KN
the horse,,,,,AnkiLangs::KN
the hospital,,,,,AnkiLangs::KN
the hotel,,,,,AnkiLangs::KN
the hour,,,,,AnkiLangs::KN
the house,,,,,AnkiLangs::KN
the human,,,,,AnkiLangs::KN
the husband,,,,,AnkiLangs::KN
the ice,,,,,AnkiLangs::KN
the image,,,,,AnkiLangs::KN
the inch,,,,,AnkiLangs::KN
the injury,,,,,AnkiLangs::KN
the inside,,,,,AnkiLangs::KN
the instrument,,,,,AnkiLangs::KN
the island,,,,,AnkiLangs::KN
the job,,,,,AnkiLangs::KN
the key,,,,,AnkiLangs::KN
the kilogram,,,,,AnkiLangs::KN
the king,,,,,AnkiLangs::KN
the kitchen,,,,,AnkiLangs::KN
the knee,,,,,AnkiLangs::KN
the knife,,,,,AnkiLangs::KN
the lake,,,,,AnkiLangs::KN
the lamp,,,,,AnkiLangs::KN
the laptop,,,,,AnkiLangs::KN
the lawyer,,,,,AnkiLangs::KN
the leaf,,,,,AnkiLangs::KN
the leg,,,,,AnkiLangs::KN
the lemon,,,,,AnkiLangs::KN
the letter,,,,,AnkiLangs::KN
the library,,,,,AnkiLangs::KN
the light,,,,,AnkiLangs::KN
the lip,,,,,AnkiLangs::KN
the location,,,,,AnkiLangs::KN
the lock,,,,,AnkiLangs::KN
the magazine,,,,,AnkiLangs::KN
the man,,,,,AnkiLangs::KN
the manager,,,,,AnkiLangs::KN
the map,,,,,AnkiLangs::KN
the market,,,,,AnkiLangs::KN
the meter,,,,,AnkiLangs::KN
the minute,,,,,AnkiLangs::KN
the month,,,,,AnkiLangs::KN
the moon,,,,,AnkiLangs::KN
the morning,,,,,AnkiLangs::KN
the mother,,,,,AnkiLangs::KN
the mountain,,,,,AnkiLangs::KN
the mouse,,,,,AnkiLangs::KN
the mouth,,,,,AnkiLangs::KN
the movie,,,,,AnkiLangs::KN
