key,text:it,ipa:it,audio:it,audio source:it,tags:it
energy,,,,,AnkiLangs::IT
exercise,,,,,AnkiLangs::IT
expensive,,,,,AnkiLangs::IT
famous,,,,,AnkiLangs::IT
fast,,,,,AnkiLangs::IT
February,,,,,AnkiLangs::IT
female,,,,,AnkiLangs::IT
fifteen (15),,,,,AnkiLangs::IT
fifth (5th),,,,,AnkiLangs::IT
fifty (50),,,,,AnkiLangs::IT
fifty-one (51),,,,,AnkiLangs::IT
fifty-two (52),,,,,AnkiLangs::IT
first (1st),,,,,AnkiLangs::IT
five (5),,,,,AnkiLangs::IT
flat,,,,,AnkiLangs::IT
food,,,,,AnkiLangs::IT
forty (40),,,,,AnkiLangs::IT
forty-one (41),,,,,AnkiLangs::IT
forty-two (42),,,,,AnkiLangs::IT
four (4),,,,,AnkiLangs::IT
fourteen (14),,,,,AnkiLangs::IT
fourth (4th),,,,,AnkiLangs::IT
Friday,,,,,AnkiLangs::IT
glass,,,,,AnkiLangs::IT
God,,,,,AnkiLangs::IT
gold,,,,,AnkiLangs::IT
good,,,,,AnkiLangs::IT
gray,grigio,/ˈɡriːdʒo/,[sound:al_it_it_grigio.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-O,AnkiLangs::IT
green,verde,/ˈverde/,[sound:al_it_it_verde.mp3],Google Cloud TTS<br>Voice: it-IT-Journey-D,AnkiLangs::IT
happy,,,,,AnkiLangs::IT
hard,,,,,AnkiLangs::IT
he,,,,,AnkiLangs::IT
healthy,,,,,AnkiLangs::IT
heaven,,,,,AnkiLangs::IT
heavy,,,,,AnkiLangs::IT
hell,,,,,AnkiLangs::IT
high,,,,,AnkiLangs::IT
hot,,,,,AnkiLangs::IT
I,,,,,AnkiLangs::IT
it,,,,,AnkiLangs::IT
January,,,,,AnkiLangs::IT
juice,,,,,AnkiLangs::IT
July,,,,,AnkiLangs::IT
June,,,,,AnkiLangs::IT
