key,text:sq,ipa:sq,audio:sq,audio source:sq,tags:sq
technology,,,,,AnkiLangs::SQ
energy,,,,,AnkiLangs::SQ
war,,,,,AnkiLangs::SQ
peace,,,,,AnkiLangs::SQ
the attack,,,,,AnkiLangs::SQ
the election,,,,,AnkiLangs::SQ
the magazine,,,,,AnkiLangs::SQ
the newspaper,,,,,AnkiLangs::SQ
poison,,,,,AnkiLangs::SQ
the gun,,,,,AnkiLangs::SQ
sport,,,,,AnkiLangs::SQ
race [sport],,,,,AnkiLangs::SQ
exercise,,,,,AnkiLangs::SQ
the ball,,,,,AnkiLangs::SQ
the game,,,,,AnkiLangs::SQ
the price,,,,,AnkiLangs::SQ
the contract,,,,,AnkiLangs::SQ
the drug,,,,,AnkiLangs::SQ
the sign,,,,,AnkiLangs::SQ
science,,,,,AnkiLangs::SQ
God,Zot,/zɔt/,,,AnkiLangs::SQ
the band [music],,,,,AnkiLangs::SQ
the song,,,,,AnkiLangs::SQ
the instrument,,,,,AnkiLangs::SQ
music,,,,,AnkiLangs::SQ
the movie,,,,,AnkiLangs::SQ
art,,,,,AnkiLangs::SQ
coffee,,,,,AnkiLangs::SQ
tea,,,,,AnkiLangs::SQ
wine,,,,,AnkiLangs::SQ
beer,,,,,AnkiLangs::SQ
juice,,,,,AnkiLangs::SQ
water,,,,,AnkiLangs::SQ
milk,,,,,AnkiLangs::SQ
the beverage,,,,,AnkiLangs::SQ
the egg,,,,,AnkiLangs::SQ
the cheese,,,,,AnkiLangs::SQ
the bread,,,,,AnkiLangs::SQ
the soup,,,,,AnkiLangs::SQ
the cake,,,,,AnkiLangs::SQ
the chicken,,,,,AnkiLangs::SQ
the pork,,,,,AnkiLangs::SQ
the beef,,,,,AnkiLangs::SQ
the apple,,,,,AnkiLangs::SQ
the banana,,,,,AnkiLangs::SQ
the orange,,,,,AnkiLangs::SQ
the lemon,,,,,AnkiLangs::SQ
the corn,,,,,AnkiLangs::SQ
rice,,,,,AnkiLangs::SQ
oil,,,,,AnkiLangs::SQ
the seed,,,,,AnkiLangs::SQ
the knife,,,,,AnkiLangs::SQ
the spoon,,,,,AnkiLangs::SQ
the fork,,,,,AnkiLangs::SQ
the plate,,,,,AnkiLangs::SQ
the cup,,,,,AnkiLangs::SQ
breakfast,,,,,AnkiLangs::SQ
lunch,,,,,AnkiLangs::SQ
dinner,,,,,AnkiLangs::SQ
sugar,,,,,AnkiLangs::SQ
salt,,,,,AnkiLangs::SQ
the bottle,,,,,AnkiLangs::SQ
food,,,,,AnkiLangs::SQ
the table,,,,,AnkiLangs::SQ
the chair,,,,,AnkiLangs::SQ
the bed,,,,,AnkiLangs::SQ
the dream,,,,,AnkiLangs::SQ
the window,,,,,AnkiLangs::SQ
the door,,,,,AnkiLangs::SQ
the bedroom,,,,,AnkiLangs::SQ
the kitchen,,,,,AnkiLangs::SQ
the bathroom,,,,,AnkiLangs::SQ
the pencil,,,,,AnkiLangs::SQ
the pen,,,,,AnkiLangs::SQ
the photograph,,,,,AnkiLangs::SQ
the soap,,,,,AnkiLangs::SQ
the book,,,,,AnkiLangs::SQ
the page,,,,,AnkiLangs::SQ
the key,,,,,AnkiLangs::SQ
the paint,,,,,AnkiLangs::SQ
the letter,,,,,AnkiLangs::SQ
the note,,,,,AnkiLangs::SQ
the wall,,,,,AnkiLangs::SQ
the paper,,,,,AnkiLangs::SQ
the floor,,,,,AnkiLangs::SQ
the ceiling,,,,,AnkiLangs::SQ
the roof,,,,,AnkiLangs::SQ
