key,guid,pronunciation hint,spelling hint,reading hint,listening hint,notes
the car,H^M]h+;66C,,,,,
Earth,G;tMM||=^^,,,,,
the dog,x/]6;Qzh.!,,,,,
the cat,yjj^q/-6Z&,,,,,
the fish,t|()tFo_TB,,,,,
the bird,u<S/j]_pzA,,,,,
the cow,"ed/(._Bwa,",,,,,
the pig,E(ce`(CDW{,,,,,
the mouse,GK3]OmwW{z,,,,,
the horse,dIsadDIr_y,,,,,
the wing,Lhm?n><Z`X,,,,,
the animal,IrPT?hv0}l,,,,,
the train,"vE`UIDWHq,",,,,,
the plane,O=ete{@19Y,,,,,
the truck,r$k8|CrAok,,,,,
the bicycle,iydUDW.(0~,,,,,
the bus,x7y~M}Ff=},,,,,
the boat,o~sR1Q]V-1,,,,,
the ship,"g/.M_,>_ri",,,,,
the tire,cZf%@9;Ykw,,,,,
the gasoline,tM/2n?jkX*,,,,,
the engine,gzt3_<RBPD,,,,,
the (train) ticket,G|~%C]):St,,,,,
transportation,ba4.8HLkR},,,,,
the city,g*:|0^1ztI,,,,,
the house,i<d(%<;CK$,,,,,
the apartment,[2Tsi@4vI,,,,,
the street/road,qNiB>XnR|b,,,,,
the airport,xu9cnW~/$v,,,,,
the train station,wqGCkYzY~P,,,,,
the bridge,f;P63vx_sV,,,,,
the hotel,iqjUTj)l*9,,,,,
the restaurant,c0[pOk4$ge,,,,,
the farm,gtca0)4u=m,,,,,
the court,&d5H2.{}Y,,,,,
the school,PL*j{IwV.#,,,,,
the office,NB/yjpwxH=,,,,,
the room,h|f;/$+D{2,,,,,
the town,qW6G>|V;LI,,,,,
the university,BG3im;nCr(,,,,,
the club,y@y4E&$zp3,,,,,
the bar,"u,~++Ksbub",,,,,
the park,D;DMOnYY5x,,,,,
the camp,Kj0@9y0lV~,,,,,
the store/shop,BLF#zzF:.,,,,,
the theater,FA#e1Q0rLk,,,,,
the library,e*BG4;w5K6,,,,,
the hospital,"H#6,0PClN+",,,,,
the church,"yqJ(,.v$`a",,,,,
the market,b9T[UT/rCO,,,,,
"the country (USA, France, etc.)",GPMh_Dih7),,,,,
the building,Nn]yl82+Kw,,,,,
the ground,gE%^S9Ui1},,,,,
space (outer space),eE$2sN=Y=B,,,,,
