key,text:nb,ipa:nb,audio:nb,audio source:nb,tags:nb
religion,,,,,AnkiLangs::NB
rice,,,,,AnkiLangs::NB
rich,,,,,AnkiLangs::NB
right,,,,,AnkiLangs::NB
sad,,,,,AnkiLangs::NB
salt,,,,,AnkiLangs::NB
Saturday,,,,,AnkiLangs::NB
science,,,,,AnkiLangs::NB
second (2nd),,,,,AnkiLangs::NB
September,,,,,AnkiLangs::NB
seven (7),,,,,AnkiLangs::NB
seventeen (17),,,,,AnkiLangs::NB
seventy (70),,,,,AnkiLangs::NB
seventy-one (71),,,,,AnkiLangs::NB
seventy-two (72),,,,,AnkiLangs::NB
sex [gender],,,,,AnkiLangs::NB
sex [the act],,,,,AnkiLangs::NB
shallow,,,,,AnkiLangs::NB
she,,,,,AnkiLangs::NB
"short [opposite of ""long""]",,,,,AnkiLangs::NB
"short [opposite of ""tall""]",,,,,AnkiLangs::NB
sick,,,,,AnkiLangs::NB
silver,,,,,AnkiLangs::NB
six (6),,,,,AnkiLangs::NB
sixteen (16),,,,,AnkiLangs::NB
sixty (60),,,,,AnkiLangs::NB
sixty-one (61),,,,,AnkiLangs::NB
sixty-two (62),,,,,AnkiLangs::NB
slow,,,,,AnkiLangs::NB
small / little,,,,,AnkiLangs::NB
soft,,,,,AnkiLangs::NB
soil/earth [ground],,,,,AnkiLangs::NB
space (outer space),,,,,AnkiLangs::NB
sport,,,,,AnkiLangs::NB
stone,,,,,AnkiLangs::NB
straight,,,,,AnkiLangs::NB
strong,,,,,AnkiLangs::NB
sugar,,,,,AnkiLangs::NB
Sunday,,,,,AnkiLangs::NB
sweat,,,,,AnkiLangs::NB
tall,,,,,AnkiLangs::NB
tea,,,,,AnkiLangs::NB
technology,,,,,AnkiLangs::NB
temperature,,,,,AnkiLangs::NB
ten (10),,,,,AnkiLangs::NB
"ten thousand (10,000)",,,,,AnkiLangs::NB
the (train) ticket,,,,,AnkiLangs::NB
the actor,,,,,AnkiLangs::NB
the adjective,,,,,AnkiLangs::NB
the adult,,,,,AnkiLangs::NB
the afternoon,,,,,AnkiLangs::NB
the air,,,,,AnkiLangs::NB
the airport,,,,,AnkiLangs::NB
the animal,,,,,AnkiLangs::NB
the apartment,,,,,AnkiLangs::NB
the apple,,,,,AnkiLangs::NB
the arm,,,,,AnkiLangs::NB
the army,,,,,AnkiLangs::NB
the artist,,,,,AnkiLangs::NB
the attack,,,,,AnkiLangs::NB
the author,,,,,AnkiLangs::NB
the baby,,,,,AnkiLangs::NB
the back [anatomy],,,,,AnkiLangs::NB
the back [location],,,,,AnkiLangs::NB
the bag,,,,,AnkiLangs::NB
the ball,,,,,AnkiLangs::NB
the banana,,,,,AnkiLangs::NB
the band [music],,,,,AnkiLangs::NB
the bank,,,,,AnkiLangs::NB
the bar,,,,,AnkiLangs::NB
the bathroom,,,,,AnkiLangs::NB
the beach,,,,,AnkiLangs::NB
the beard,,,,,AnkiLangs::NB
the bed,,,,,AnkiLangs::NB
the bedroom,,,,,AnkiLangs::NB
the beef,,,,,AnkiLangs::NB
the beverage,,,,,AnkiLangs::NB
the bicycle,,,,,AnkiLangs::NB
the bill [bank note],,,,,AnkiLangs::NB
the bird,,,,,AnkiLangs::NB
the boat,,,,,AnkiLangs::NB
the body,,,,,AnkiLangs::NB
the bone,,,,,AnkiLangs::NB
the book,,,,,AnkiLangs::NB
the bottle,,,,,AnkiLangs::NB
the bottom,,,,,AnkiLangs::NB
the box,,,,,AnkiLangs::NB
the boy,,,,,AnkiLangs::NB
the brain,,,,,AnkiLangs::NB
the bread,,,,,AnkiLangs::NB
the bridge,,,,,AnkiLangs::NB
the brother,,,,,AnkiLangs::NB
the building,,,,,AnkiLangs::NB
the bus,,,,,AnkiLangs::NB
the cake,,,,,AnkiLangs::NB
the camera,,,,,AnkiLangs::NB
the camp,,,,,AnkiLangs::NB
the car,,,,,AnkiLangs::NB
the card,,,,,AnkiLangs::NB
the cat,,,,,AnkiLangs::NB
the ceiling,,,,,AnkiLangs::NB
the cell phone,,,,,AnkiLangs::NB
the centimeter,,,,,AnkiLangs::NB
the chair,,,,,AnkiLangs::NB
the cheese,,,,,AnkiLangs::NB
the chicken,,,,,AnkiLangs::NB
the child,,,,,AnkiLangs::NB
the church,,,,,AnkiLangs::NB
the circle,,,,,AnkiLangs::NB
the city,,,,,AnkiLangs::NB
the clock,,,,,AnkiLangs::NB
the clothing,,,,,AnkiLangs::NB
the club,,,,,AnkiLangs::NB
the coat,,,,,AnkiLangs::NB
the color,,,,,AnkiLangs::NB
the computer,,,,,AnkiLangs::NB
the consonant,,,,,AnkiLangs::NB
the contract,,,,,AnkiLangs::NB
the corn,,,,,AnkiLangs::NB
the corner,,,,,AnkiLangs::NB
"the country (USA, France, etc.)",,,,,AnkiLangs::NB
the court,,,,,AnkiLangs::NB
the cow,,,,,AnkiLangs::NB
the crowd,,,,,AnkiLangs::NB
the cup,,,,,AnkiLangs::NB
the date,,,,,AnkiLangs::NB
the daughter,,,,,AnkiLangs::NB
the day,,,,,AnkiLangs::NB
the direction,,,,,AnkiLangs::NB
the doctor,,,,,AnkiLangs::NB
the dog,,,,,AnkiLangs::NB
the dollar,,,,,AnkiLangs::NB
the door,,,,,AnkiLangs::NB
the dot,,,,,AnkiLangs::NB
the dream,,,,,AnkiLangs::NB
the dress,,,,,AnkiLangs::NB
the drug,,,,,AnkiLangs::NB
the ear,,,,,AnkiLangs::NB
the east,,,,,AnkiLangs::NB
the edge,,,,,AnkiLangs::NB
the egg,,,,,AnkiLangs::NB
the election,,,,,AnkiLangs::NB
the engine,,,,,AnkiLangs::NB
the evening,,,,,AnkiLangs::NB
the eye,,,,,AnkiLangs::NB
the face,,,,,AnkiLangs::NB
the Fall,,,,,AnkiLangs::NB
the family,,,,,AnkiLangs::NB
the fan [appliance],,,,,AnkiLangs::NB
the fan [person],,,,,AnkiLangs::NB
the farm,,,,,AnkiLangs::NB
the father,,,,,AnkiLangs::NB
the finger,,,,,AnkiLangs::NB
the fire,,,,,AnkiLangs::NB
the fish,,,,,AnkiLangs::NB
the floor,,,,,AnkiLangs::NB
the flower,,,,,AnkiLangs::NB
the foot,,,,,AnkiLangs::NB
the foot [measurement],,,,,AnkiLangs::NB
the forest,,,,,AnkiLangs::NB
the fork,,,,,AnkiLangs::NB
the friend,,,,,AnkiLangs::NB
the front,,,,,AnkiLangs::NB
the game,,,,,AnkiLangs::NB
the garden,,,,,AnkiLangs::NB
the gasoline,,,,,AnkiLangs::NB
the gift,,,,,AnkiLangs::NB
the girl,,,,,AnkiLangs::NB
the grandfather,,,,,AnkiLangs::NB
the grandmother,,,,,AnkiLangs::NB
the grass,,,,,AnkiLangs::NB
the ground,,,,,AnkiLangs::NB
the gun,,,,,AnkiLangs::NB
the hair,,,,,AnkiLangs::NB
the half,,,,,AnkiLangs::NB
the hand,,,,,AnkiLangs::NB
the hat,,,,,AnkiLangs::NB
the head,,,,,AnkiLangs::NB
the heart,,,,,AnkiLangs::NB
the heat,,,,,AnkiLangs::NB
the hill,,,,,AnkiLangs::NB
the hole,,,,,AnkiLangs::NB
the horse,,,,,AnkiLangs::NB
the hospital,,,,,AnkiLangs::NB
the hotel,,,,,AnkiLangs::NB
the hour,,,,,AnkiLangs::NB
the house,,,,,AnkiLangs::NB
the human,,,,,AnkiLangs::NB
the husband,,,,,AnkiLangs::NB
the ice,,,,,AnkiLangs::NB
the image,,,,,AnkiLangs::NB
the inch,,,,,AnkiLangs::NB
the injury,,,,,AnkiLangs::NB
the inside,,,,,AnkiLangs::NB
the instrument,,,,,AnkiLangs::NB
the island,,,,,AnkiLangs::NB
the job,,,,,AnkiLangs::NB
the key,,,,,AnkiLangs::NB
the kilogram,,,,,AnkiLangs::NB
the king,,,,,AnkiLangs::NB
the kitchen,,,,,AnkiLangs::NB
the knee,,,,,AnkiLangs::NB
the knife,,,,,AnkiLangs::NB
the lake,,,,,AnkiLangs::NB
the lamp,,,,,AnkiLangs::NB
the laptop,,,,,AnkiLangs::NB
the lawyer,,,,,AnkiLangs::NB
the leaf,,,,,AnkiLangs::NB
the leg,,,,,AnkiLangs::NB
the lemon,,,,,AnkiLangs::NB
the letter,,,,,AnkiLangs::NB
the library,,,,,AnkiLangs::NB
the light,,,,,AnkiLangs::NB
the lip,,,,,AnkiLangs::NB
the location,,,,,AnkiLangs::NB
the lock,,,,,AnkiLangs::NB
the magazine,,,,,AnkiLangs::NB
the man,,,,,AnkiLangs::NB
the manager,,,,,AnkiLangs::NB
the map,,,,,AnkiLangs::NB
the market,,,,,AnkiLangs::NB
the meter,,,,,AnkiLangs::NB
the minute,,,,,AnkiLangs::NB
the month,,,,,AnkiLangs::NB
the moon,,,,,AnkiLangs::NB
the morning,,,,,AnkiLangs::NB
the mother,,,,,AnkiLangs::NB
the mountain,,,,,AnkiLangs::NB
the mouse,,,,,AnkiLangs::NB
the mouth,,,,,AnkiLangs::NB
the movie,,,,,AnkiLangs::NB
the neck,,,,,AnkiLangs::NB
the needle,,,,,AnkiLangs::NB
the neighbor,,,,,AnkiLangs::NB
the network,,,,,AnkiLangs::NB
the newspaper,,,,,AnkiLangs::NB
the night,,,,,AnkiLangs::NB
the north,,,,,AnkiLangs::NB
the nose,,,,,AnkiLangs::NB
the note,,,,,AnkiLangs::NB
the noun,,,,,AnkiLangs::NB
the number,,,,,AnkiLangs::NB
the ocean,,,,,AnkiLangs::NB
the office,,,,,AnkiLangs::NB
the orange,,,,,AnkiLangs::NB
the outside,,,,,AnkiLangs::NB
the page,,,,,AnkiLangs::NB
the paint,,,,,AnkiLangs::NB
the pants,,,,,AnkiLangs::NB
the paper,,,,,AnkiLangs::NB
the parent,,,,,AnkiLangs::NB
the park,,,,,AnkiLangs::NB
the patient,,,,,AnkiLangs::NB
the pattern,,,,,AnkiLangs::NB
the pen,,,,,AnkiLangs::NB
the pencil,,,,,AnkiLangs::NB
the person,,,,,AnkiLangs::NB
the photograph,,,,,AnkiLangs::NB
the piece,,,,,AnkiLangs::NB
the pig,,,,,AnkiLangs::NB
the plane,,,,,AnkiLangs::NB
the plant,,,,,AnkiLangs::NB
the plate,,,,,AnkiLangs::NB
the player,,,,,AnkiLangs::NB
the pocket,,,,,AnkiLangs::NB
the police,,,,,AnkiLangs::NB
the pool,,,,,AnkiLangs::NB
the pork,,,,,AnkiLangs::NB
the pound,,,,,AnkiLangs::NB
the president,,,,,AnkiLangs::NB
the price,,,,,AnkiLangs::NB
the priest,,,,,AnkiLangs::NB
the program,,,,,AnkiLangs::NB
the queen,,,,,AnkiLangs::NB
the radio,,,,,AnkiLangs::NB
the rain,,,,,AnkiLangs::NB
the reporter,,,,,AnkiLangs::NB
the restaurant,,,,,AnkiLangs::NB
the ring,,,,,AnkiLangs::NB
the river,,,,,AnkiLangs::NB
the roof,,,,,AnkiLangs::NB
the room,,,,,AnkiLangs::NB
