guid,source text,target text,target ipa,target audio,picture,notes,pronunciation hint,spelling hint,reading hint,listening hint,source & license,tags
jX1tVQ1P4-,the car,das Auto,/'das&nbsp;ˈaːuto/,[sound:audio/de_DE/das_auto.mp3],"<img src=""imgs/car_vw.jpg"">",,,,,,"Target Audio:&nbsp;<a href=""https://forvo.com/word/das_auto/"">https://forvo.com/word/das_auto/</a>&nbsp;by user Bartleby<br>Picture:&nbsp;<a href=""https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/"">https://pixabay.com/photos/car-engine-wheels-vintage-car-7275386/</a>",AnkiLangs::DE
f>xd3G8QPg,Earth,die Erde,/ˈdiː ˈeːrdə/,[sound:audio/de_DE/die_erde.mp3],"<img src=""imgs/earth.jpg"">","It also means ""soil"".",,,It is very large,It is very large.,"Target Audio:&nbsp;<a href=""https://forvo.com/word/die_erde/"">https://forvo.com/word/die_erde/</a>&nbsp;by user Kariv<br>Picture:&nbsp;<a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a>",AnkiLangs::DE
