key,text:ru,ipa:ru,audio:ru,audio source:ru,tags:ru
relationship,,,,,AnkiLangs::RU
religion,,,,,AnkiLangs::RU
rice,,,,,AnkiLangs::RU
rich,,,,,AnkiLangs::RU
right,,,,,AnkiLangs::RU
sad,,,,,AnkiLangs::RU
salt,,,,,AnkiLangs::RU
Saturday,,,,,AnkiLangs::RU
science,,,,,AnkiLangs::RU
second (2nd),,,,,AnkiLangs::RU
September,,,,,AnkiLangs::RU
seven (7),,,,,AnkiLangs::RU
seventeen (17),,,,,AnkiLangs::RU
seventy (70),,,,,AnkiLangs::RU
seventy-one (71),,,,,AnkiLangs::RU
seventy-two (72),,,,,AnkiLangs::RU
sex [gender],,,,,AnkiLangs::RU
sex [the act],,,,,AnkiLangs::RU
shallow,,,,,AnkiLangs::RU
she,,,,,AnkiLangs::RU
"short [opposite of ""long""]",,,,,AnkiLangs::RU
"short [opposite of ""tall""]",,,,,AnkiLangs::RU
sick,,,,,AnkiLangs::RU
silver,,,,,AnkiLangs::RU
six (6),,,,,AnkiLangs::RU
sixteen (16),,,,,AnkiLangs::RU
sixty (60),,,,,AnkiLangs::RU
sixty-one (61),,,,,AnkiLangs::RU
sixty-two (62),,,,,AnkiLangs::RU
slow,,,,,AnkiLangs::RU
small / little,,,,,AnkiLangs::RU
soft,,,,,AnkiLangs::RU
soil/earth [ground],,,,,AnkiLangs::RU
space (outer space),,,,,AnkiLangs::RU
sport,,,,,AnkiLangs::RU
stone,,,,,AnkiLangs::RU
straight,,,,,AnkiLangs::RU
strong,,,,,AnkiLangs::RU
sugar,,,,,AnkiLangs::RU
Sunday,,,,,AnkiLangs::RU
sweat,,,,,AnkiLangs::RU
tall,,,,,AnkiLangs::RU
tea,,,,,AnkiLangs::RU
technology,,,,,AnkiLangs::RU
temperature,,,,,AnkiLangs::RU
ten (10),,,,,AnkiLangs::RU
"ten thousand (10,000)",,,,,AnkiLangs::RU
the (train) ticket,,,,,AnkiLangs::RU
the actor,,,,,AnkiLangs::RU
the adjective,,,,,AnkiLangs::RU
the adult,,,,,AnkiLangs::RU
the afternoon,,,,,AnkiLangs::RU
the air,,,,,AnkiLangs::RU
the airport,,,,,AnkiLangs::RU
the animal,,,,,AnkiLangs::RU
the apartment,,,,,AnkiLangs::RU
the apple,,,,,AnkiLangs::RU
the arm,,,,,AnkiLangs::RU
the army,,,,,AnkiLangs::RU
the artist,,,,,AnkiLangs::RU
the attack,,,,,AnkiLangs::RU
the author,,,,,AnkiLangs::RU
the baby,,,,,AnkiLangs::RU
the back [anatomy],,,,,AnkiLangs::RU
the back [location],,,,,AnkiLangs::RU
the bag,,,,,AnkiLangs::RU
the ball,,,,,AnkiLangs::RU
the banana,,,,,AnkiLangs::RU
the band [music],,,,,AnkiLangs::RU
the bank,,,,,AnkiLangs::RU
the bar,,,,,AnkiLangs::RU
the bathroom,,,,,AnkiLangs::RU
the beach,,,,,AnkiLangs::RU
the beard,,,,,AnkiLangs::RU
the bed,,,,,AnkiLangs::RU
the bedroom,,,,,AnkiLangs::RU
the beef,,,,,AnkiLangs::RU
the beverage,,,,,AnkiLangs::RU
the bicycle,,,,,AnkiLangs::RU
the bill [bank note],,,,,AnkiLangs::RU
the bird,,,,,AnkiLangs::RU
the boat,,,,,AnkiLangs::RU
the body,,,,,AnkiLangs::RU
the bone,,,,,AnkiLangs::RU
the book,,,,,AnkiLangs::RU
the bottle,,,,,AnkiLangs::RU
the bottom,,,,,AnkiLangs::RU
the box,,,,,AnkiLangs::RU
the boy,,,,,AnkiLangs::RU
the brain,,,,,AnkiLangs::RU
the bread,,,,,AnkiLangs::RU
the bridge,,,,,AnkiLangs::RU
the brother,,,,,AnkiLangs::RU
the building,,,,,AnkiLangs::RU
the bus,,,,,AnkiLangs::RU
the cake,,,,,AnkiLangs::RU
the camera,,,,,AnkiLangs::RU
the camp,,,,,AnkiLangs::RU
the car,,,,,AnkiLangs::RU
the card,,,,,AnkiLangs::RU
the cat,,,,,AnkiLangs::RU
the ceiling,,,,,AnkiLangs::RU
the cell phone,,,,,AnkiLangs::RU
the centimeter,,,,,AnkiLangs::RU
the chair,,,,,AnkiLangs::RU
the cheese,,,,,AnkiLangs::RU
the chicken,,,,,AnkiLangs::RU
the child,,,,,AnkiLangs::RU
the church,,,,,AnkiLangs::RU
the circle,,,,,AnkiLangs::RU
the city,,,,,AnkiLangs::RU
the clock,,,,,AnkiLangs::RU
the clothing,,,,,AnkiLangs::RU
the club,,,,,AnkiLangs::RU
the coat,,,,,AnkiLangs::RU
the color,,,,,AnkiLangs::RU
the computer,,,,,AnkiLangs::RU
the consonant,,,,,AnkiLangs::RU
the contract,,,,,AnkiLangs::RU
the corn,,,,,AnkiLangs::RU
the corner,,,,,AnkiLangs::RU
"the country (USA, France, etc.)",,,,,AnkiLangs::RU
the court,,,,,AnkiLangs::RU
the cow,,,,,AnkiLangs::RU
the crowd,,,,,AnkiLangs::RU
the cup,,,,,AnkiLangs::RU
the date,,,,,AnkiLangs::RU
the daughter,,,,,AnkiLangs::RU
the day,,,,,AnkiLangs::RU
the direction,,,,,AnkiLangs::RU
the doctor,,,,,AnkiLangs::RU
the dog,,,,,AnkiLangs::RU
the dollar,,,,,AnkiLangs::RU
the door,,,,,AnkiLangs::RU
the dot,,,,,AnkiLangs::RU
the dream,,,,,AnkiLangs::RU
the dress,,,,,AnkiLangs::RU
the drug,,,,,AnkiLangs::RU
the ear,,,,,AnkiLangs::RU
the east,,,,,AnkiLangs::RU
the edge,,,,,AnkiLangs::RU
the egg,,,,,AnkiLangs::RU
the election,,,,,AnkiLangs::RU
the engine,,,,,AnkiLangs::RU
the evening,,,,,AnkiLangs::RU
the eye,,,,,AnkiLangs::RU
the face,,,,,AnkiLangs::RU
the Fall,,,,,AnkiLangs::RU
the family,,,,,AnkiLangs::RU
the fan [appliance],,,,,AnkiLangs::RU
