guid,text1,audio1,ipa1,meaning1,text2,audio2,ipa2,meaning2,tags
BA7lDDu[z7,vieler,[sound:al_de_de_vieler.mp3],/ˈfiːlɐ/,of many,Filla,[sound:al_de_de_filla.mp3],/ˈfɪlaː/,(made up),
DXRhSITCXQ,bieten,[sound:al_de_de_bieten.mp3],/ˈbiːtn̩/,to offer,bitten,[sound:al_de_de_bitten.mp3],/ˈbɪtn̩/,to ask for,
FX=WXYjuB^,stiehlt,[sound:al_de_de_stiehlt.mp3],/ʃtiːlt/,(he) steals,stillt,[sound:al_de_de_stillt.mp3],/ʃtɪlt/,(she) breastfeeds,
io?GhwPo_M,ihn,[sound:al_de_de_ihn.mp3],/iːn/,him,in,[sound:al_de_de_in.mp3],/ɪn/,in,
xD*nHinVA-,Wiege,[sound:al_de_de_wiege.mp3],/ˈviːɡə/,cradle,Wigge,[sound:al_de_de_wigge.mp3],/ˈvɪɡə/,(made up),
y!_1e4=ab`,riet,[sound:al_de_de_riet.mp3],/ʁiːt/,(I) guessed,ritt,[sound:al_de_de_ritt.mp3],/ʁɪt/,(I) rode (a horse),
