key,source
marriage,Audio:<br>Google Cloud TTS<br>Voice: Achernar
material,Audio:<br>Google Cloud TTS<br>Voice: Achernar
May,Audio:<br>Google Cloud TTS<br>Voice: Achird
mean,Audio:<br>Google Cloud TTS<br>Voice: Achernar
medicine,Audio:<br>Google Cloud TTS<br>Voice: Achernar
metal,Audio:<br>Google Cloud TTS<br>Voice: Achird
milk,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Monday,Audio:<br>Google Cloud TTS<br>Voice: Achird
money,Audio:<br>Google Cloud TTS<br>Voice: Achird
murder,Audio:<br>Google Cloud TTS<br>Voice: Achernar
music,Audio:<br>Google Cloud TTS<br>Voice: Achernar
narrow,Audio:<br>Google Cloud TTS<br>Voice: Achernar
nature,Audio:<br>Google Cloud TTS<br>Voice: Achird
new,Audio:<br>Google Cloud TTS<br>Voice: Aoede
nice,Audio:<br>Google Cloud TTS<br>Voice: Achird
nine (9),Audio:<br>Google Cloud TTS<br>Voice: Achernar
nineteen (19),Audio:<br>Google Cloud TTS<br>Voice: Achird
ninety (90),Audio:<br>Google Cloud TTS<br>Voice: Achird
ninety-one (91),Audio:<br>Google Cloud TTS<br>Voice: Achernar
ninety-two (92),Audio:<br>Google Cloud TTS<br>Voice: Achernar
no,Audio:<br>Google Cloud TTS<br>Voice: Achird
November,Audio:<br>Google Cloud TTS<br>Voice: Achernar
nuclear,Audio:<br>Google Cloud TTS<br>Voice: Achird
October,Audio:<br>Google Cloud TTS<br>Voice: Achernar
oil,Audio:<br>Google Cloud TTS<br>Voice: Achird
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: Achernar
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: Achernar
one (1),Audio:<br>Google Cloud TTS<br>Voice: Achird
"one billion (1,000,000,000)",Audio:<br>Google Cloud TTS<br>Voice: Achernar
one hundred (100),Audio:<br>Google Cloud TTS<br>Voice: Achernar
one hundred eleven (111),Audio:<br>Google Cloud TTS<br>Voice: Achird
one hundred one (101),Audio:<br>Google Cloud TTS<br>Voice: Achernar
one hundred ten (110),Audio:<br>Google Cloud TTS<br>Voice: Achird
"one hundred thousand (100,000)",Audio:<br>Google Cloud TTS<br>Voice: Achird
one hundred two (102),Audio:<br>Google Cloud TTS<br>Voice: Achird
"one million (1,000,000)",Audio:<br>Google Cloud TTS<br>Voice: Aoede
one thousand (1000),Audio:<br>Google Cloud TTS<br>Voice: Achird
one thousand one (1001),Audio:<br>Google Cloud TTS<br>Voice: Achernar
orange,Audio:<br>Google Cloud TTS<br>Voice: Achird
pain,Audio:<br>Google Cloud TTS<br>Voice: Aoede
peace,Audio:<br>Google Cloud TTS<br>Voice: Achird
pink,Audio:<br>Google Cloud TTS<br>Voice: Aoede
plastic,Audio:<br>Google Cloud TTS<br>Voice: Achernar
poison,Audio:<br>Google Cloud TTS<br>Voice: Achernar
poor,Audio:<br>Google Cloud TTS<br>Voice: Achernar
prison,Audio:<br>Google Cloud TTS<br>Voice: Achird
quiet,Audio:<br>Google Cloud TTS<br>Voice: Achernar
race [ethnicity],Audio:<br>Google Cloud TTS<br>Voice: Aoede
race [sport],Audio:<br>Google Cloud TTS<br>Voice: Achird
red,Audio:<br>Google Cloud TTS<br>Voice: Achird
relationship,Audio:<br>Google Cloud TTS<br>Voice: Achernar
religion,Audio:<br>Google Cloud TTS<br>Voice: Achird
rice,Audio:<br>Google Cloud TTS<br>Voice: Achird
rich,Audio:<br>Google Cloud TTS<br>Voice: Achernar
right [direction],Audio:<br>Google Cloud TTS<br>Voice: Achernar
sad,Audio:<br>Google Cloud TTS<br>Voice: Achird
salt,Audio:<br>Google Cloud TTS<br>Voice: Aoede
Saturday,Audio:<br>Google Cloud TTS<br>Voice: Achernar
science,Audio:<br>Google Cloud TTS<br>Voice: Achird
second (2nd),Audio:<br>Google Cloud TTS<br>Voice: Achernar
September,Audio:<br>Google Cloud TTS<br>Voice: Achird
seven (7),Audio:<br>Google Cloud TTS<br>Voice: Achird
seventeen (17),Audio:<br>Google Cloud TTS<br>Voice: Aoede
seventy (70),Audio:<br>Google Cloud TTS<br>Voice: Achernar
seventy-one (71),Audio:<br>Google Cloud TTS<br>Voice: Achird
seventy-two (72),Audio:<br>Google Cloud TTS<br>Voice: Aoede
sex [gender],Audio:<br>Google Cloud TTS<br>Voice: Achernar
sex [the act],Audio:<br>Google Cloud TTS<br>Voice: Achernar
shallow,Audio:<br>Google Cloud TTS<br>Voice: Achird
she,Audio:<br>Google Cloud TTS<br>Voice: Achernar
"short [opposite of ""long""]",Audio:<br>Google Cloud TTS<br>Voice: Achird
"short [opposite of ""tall""]",Audio:<br>Google Cloud TTS<br>Voice: Achird
sick,Audio:<br>Google Cloud TTS<br>Voice: Achird
silver,Audio:<br>Google Cloud TTS<br>Voice: Achernar
six (6),Audio:<br>Google Cloud TTS<br>Voice: Achernar
sixteen (16),Audio:<br>Google Cloud TTS<br>Voice: Achernar
sixty (60),Audio:<br>Google Cloud TTS<br>Voice: Achird
sixty-one (61),Audio:<br>Google Cloud TTS<br>Voice: Achird
sixty-two (62),Audio:<br>Google Cloud TTS<br>Voice: Achird
slow,Audio:<br>Google Cloud TTS<br>Voice: Achernar
small / little,Audio:<br>Google Cloud TTS<br>Voice: Achernar
soft,Audio:<br>Google Cloud TTS<br>Voice: Achird
soil/earth [ground],Audio:<br>Google Cloud TTS<br>Voice: Achernar
space (outer space),Audio:<br>Google Cloud TTS<br>Voice: Achird
sport,Audio:<br>Google Cloud TTS<br>Voice: Achird
stone,Audio:<br>Google Cloud TTS<br>Voice: Achird
straight,Audio:<br>Google Cloud TTS<br>Voice: Achird
strong,Audio:<br>Google Cloud TTS<br>Voice: Achernar
sugar,Audio:<br>Google Cloud TTS<br>Voice: Achernar
Sunday,Audio:<br>Google Cloud TTS<br>Voice: Achird
sweat,Audio:<br>Google Cloud TTS<br>Voice: Achernar
tall,Audio:<br>Google Cloud TTS<br>Voice: Achird
tea,Audio:<br>Google Cloud TTS<br>Voice: Achird
technology,Audio:<br>Google Cloud TTS<br>Voice: Achird
temperature,Audio:<br>Google Cloud TTS<br>Voice: Achird
ten (10),Audio:<br>Google Cloud TTS<br>Voice: Achird
