key,source
hot,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
I,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
it,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
January,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
juice,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
July,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
June,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
left,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
light blue,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
long,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
loose,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
loud,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
low,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
lunch,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
male,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
March,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
marriage,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
material,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
May,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
mean,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
medicine,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
metal,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
milk,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
Monday,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
money,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
murder,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
music,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
narrow,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
nature,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
new,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
nice,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
nine (9),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
nineteen (19),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
ninety (90),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
ninety-one (91),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
ninety-two (92),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
no,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
November,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
nuclear,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
October,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
oil,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
one (1),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"one billion (1,000,000,000)",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
one hundred (100),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
one hundred eleven (111),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
one hundred one (101),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
one hundred ten (110),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"one hundred thousand (100,000)",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
one hundred two (102),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
"one million (1,000,000)",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
one thousand (1000),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
one thousand one (1001),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
orange,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
pain,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
peace,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
pink,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
plastic,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
poison,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
poor,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
prison,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
quiet,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
race [ethnicity],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
race [sport],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
red,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
relationship,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
religion,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
rice,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
rich,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
right,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
sad,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
salt,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
Saturday,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
science,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
second (2nd),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
September,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
seven (7),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
seventeen (17),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
seventy (70),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
seventy-one (71),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
seventy-two (72),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sex [gender],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sex [the act],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
shallow,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
she,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
"short [opposite of ""long""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"short [opposite of ""tall""]",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sick,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
silver,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
six (6),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sixteen (16),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sixty (60),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
sixty-one (61),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sixty-two (62),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
slow,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
small / little,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
soft,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
soil/earth [ground],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
space (outer space),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
sport,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
stone,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
straight,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
strong,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
sugar,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
Sunday,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
sweat,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
tall,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
tea,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
technology,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
temperature,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
ten (10),Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
"ten thousand (10,000)",Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the (train) ticket,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the actor,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the adjective,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the adult,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the afternoon,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the air,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the airport,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the animal,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the apartment,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the apple,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the arm,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the army,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the artist,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the attack,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the author,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the baby,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the back [anatomy],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the back [location],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the bag,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the ball,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the banana,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the band [music],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bank,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the bar,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bathroom,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the beach,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the beard,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the bed,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the bedroom,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the beef,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the beverage,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bicycle,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bill [bank note],Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the bird,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the boat,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the body,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bone,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the book,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bottle,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bottom,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-G
the box,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the boy,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the brain,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bread,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
the bridge,Audio:<br>Google Cloud TTS<br>Voice: nb-NO-Standard-F
