key,source
July,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
June,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
left,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
light blue,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
long,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
loose,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
loud,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
low,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
lunch,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
male,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
March,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
marriage,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
material,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
May,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
mean,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
medicine,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
metal,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
milk,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
Monday,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
money,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
murder,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
music,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
narrow,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
nature,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
new,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
nice,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
nine,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
nineteen,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
ninety,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
ninety-one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
ninety-two,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
no,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
November,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
nuclear,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
October,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
oil,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one billion,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one hundred,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one hundred eleven,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one hundred one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one hundred ten,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
one hundred thousand,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one hundred two,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one million,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one thousand,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
one thousand one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
orange,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
pain,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
peace,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
pink,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
plastic,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
poison,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
poor,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
prison,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
quiet,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
race [human group],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
race [sport],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
red,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
relationship,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
religion,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
rice,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
rich,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
right [direction],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
sad,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
salt,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
Saturday,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
science,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
second,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
September,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
seven,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
seventeen,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
seventy,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
seventy-one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
seventy-two,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sex [gender],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sex [the act],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
shallow,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
she,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
"short [opposite of ""long""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
"short [opposite of ""tall""]",Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sick,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
silver,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
six,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sixteen,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
sixty,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sixty-one,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
sixty-two,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
slow,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
small / little,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
soft,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
soil/earth [ground],Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
space,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sport,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
stone,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
straight,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
strong,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
sugar,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
Sunday,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
sweat,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
tall,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
tea,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
technology,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
temperature,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
ten,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
ten thousand,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the actor,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the adjective,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the adult,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the afternoon,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
the air,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the airport,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the animal,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the apartment,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the apple,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
the arm,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
