key,source
alive,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
April,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
art,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
August,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
bad,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
beautiful,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
beer,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
big / large,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
black,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
blind,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
blood,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
blue,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
breakfast,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
brown,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
cheap,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
clay,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
clean,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
coffee,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
cold,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
cool,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
copper,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
curved,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
dark,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
dark blue,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
dead,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
deaf,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
death,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
December,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
deep,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
diamond,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
dinner,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
dirty,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
disease,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
down,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
dry,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
dust,Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
Earth,"Picture:<br><a href=""https://pixabay.com/photos/earth-globe-planet-world-space-11015/"">https://pixabay.com/photos/earth-globe-planet-world-space-11015/</a><br><br>Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O"
eight (8),Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
eighteen (18),Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-O
eighty (80),Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
eighty-one (81),Audio:<br>Google Cloud TTS<br>Voice: en-US-Studio-Q
