key,source
I,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
it,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
January,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
juice,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
July,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
June,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
left,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
light blue,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
long,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
loose,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
loud,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
low,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
lunch,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
male,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
March,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
marriage,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
material,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
May,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
mean,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
medicine,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
metal,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
milk,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
Monday,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
money,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
murder,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
music,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
narrow,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
nature,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
new,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
nice,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
nine,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
nineteen,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
ninety,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
ninety-one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
ninety-two,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
no,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
November,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
nuclear,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
October,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
oil,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one billion,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one hundred,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
one hundred eleven,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
one hundred one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one hundred ten,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one hundred thousand,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
one hundred two,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
one million,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one thousand,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
one thousand one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
orange,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
pain,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
peace,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
pink,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
plastic,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
poison,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
poor,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
prison,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
quiet,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
race [human group],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
race [sport],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
red,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
relationship,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
religion,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
rice,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
rich,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
right [direction],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
sad,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
salt,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
Saturday,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
science,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
second,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
September,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
seven,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
seventeen,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
seventy,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
seventy-one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
seventy-two,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sex [gender],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sex [the act],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
shallow,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
she,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
"short [opposite of ""long""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
"short [opposite of ""tall""]",Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sick,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
silver,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
six,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sixteen,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sixty,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
sixty-one,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sixty-two,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
slow,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
small / little,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
soft,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
soil/earth [ground],Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
space,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
sport,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
stone,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
straight,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
strong,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
sugar,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
Sunday,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
sweat,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-A
tall,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
tea,Audio:<br>Google Cloud TTS<br>Voice: hi-IN-Standard-B
