key,source
hot,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
I,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
it,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
January,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
juice,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
July,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
June,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
left,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
"light [opposite of ""dark""]",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
"light [opposite of ""heavy""]",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
light blue,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
long,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
loose,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
loud,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
low,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
lunch,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
male,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
March,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
marriage,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
material,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
May,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
mean,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
medicine,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
metal,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
milk,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
Monday,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
money,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
murder,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
music,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
narrow,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
nature,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
new,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
nice,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
nine (9),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
nineteen (19),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
ninety (90),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
ninety-one (91),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
ninety-two (92),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
no,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
November,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
nuclear,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
October,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
oil,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
"old [opposite of ""new""]",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
"old [opposite of ""young""]",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
one (1),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
"one billion (1,000,000,000)",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
one hundred (100),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
one hundred eleven (111),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
one hundred one (101),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
one hundred ten (110),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
"one hundred thousand (100,000)",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
one hundred two (102),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
"one million (1,000,000)",Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
one thousand (1000),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
one thousand one (1001),Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
orange,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
pain,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
peace,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
pink,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
plastic,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
poison,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
poor,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
prison,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-A
quiet,Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
race [ethnicity],Audio:<br>Google Cloud TTS<br>Voice: kn-IN-Standard-B
