source_locale,target_locale,name
nl_nl,fr_fr,Frans
nl_nl,hi_in,Hindi
nl_nl,it_it,Italiaans
nl_nl,kn_in,Kannada
nl_nl,la_la,Latijn
nl_nl,mr_in,Marathi
nl_nl,nb_no,Noors
nl_nl,nl_nl,Nederlands
nl_nl,pt_pt,Portugees
nl_nl,ru_ru,Russisch
nl_nl,sq_al,Albanees
nl_nl,sv_se,Zweeds
nl_nl,ta_in,Tamil
pt_pt,ar_xa,Árabe
pt_pt,de_de,Alemão
pt_pt,en_us,Inglês
pt_pt,es_es,Espanhol
pt_pt,fa_ir,Persa
pt_pt,fr_fr,Francês
pt_pt,hi_in,Hindi
pt_pt,it_it,Italiano
pt_pt,kn_in,Kannada
pt_pt,la_la,Latim
pt_pt,mr_in,Marata
pt_pt,nb_no,Norueguês
pt_pt,nl_nl,Holandês
pt_pt,pt_pt,Português
pt_pt,ru_ru,Russo
pt_pt,sq_al,Albanês
pt_pt,sv_se,Sueco
pt_pt,ta_in,Tâmil
ru_ru,ar_xa,Arabskiy
ru_ru,de_de,Nemetskiy
ru_ru,en_us,Angliyskiy
ru_ru,es_es,Ispanskiy
ru_ru,fa_ir,Farsi
ru_ru,fr_fr,Frantsuzskiy
ru_ru,hi_in,Hindi
ru_ru,it_it,Italyanskiy
ru_ru,kn_in,Kannada
ru_ru,la_la,Latin
ru_ru,mr_in,Marathi
ru_ru,nb_no,Norvezhskiy
ru_ru,nl_nl,Gollandskiy
ru_ru,pt_pt,Portugalskiy
ru_ru,ru_ru,Russkiy
ru_ru,sq_al,Albanian
ru_ru,sv_se,Shvedskiy
ru_ru,ta_in,Tamil
sv_se,ar_xa,Arabiska
sv_se,de_de,Tyska
sv_se,en_us,Engelska
sv_se,es_es,Spanska
sv_se,fa_ir,Persiska
sv_se,fr_fr,Franska
sv_se,hi_in,Hindi
sv_se,it_it,Italienska
sv_se,kn_in,Kannada
sv_se,la_la,Latin
sv_se,mr_in,Marathi
sv_se,nb_no,Norska
